team,display,polymarket_mid_pct,polymarket_bid_pct,polymarket_ask_pct,kalshi_mid_pct,kalshi_bid_pct,kalshi_ask_pct,consensus_avg_pct
Spain,Spain,16.75,16.7,16.8,16.75,16.7,16.8,16.75
France,France,16.05,16.0,16.1,17.15,17.1,17.2,16.6
Portugal,Portugal,10.55,10.5,10.6,10.85,10.8,10.9,10.7
England,England,9.65,9.6,9.7,10.55,10.5,10.6,10.1
Brazil,Brazil,8.35,8.3,8.4,8.55,8.5,8.6,8.45
Argentina,Argentina,7.85,7.8,7.9,8.85,8.8,8.9,8.35
Netherlands,Netherlands,5.05,5.0,5.1,5.75,5.7,5.8,5.4
Germany,Germany,5.15,5.1,5.2,5.05,5.0,5.1,5.1
USA,USA,1.95,1.9,2.0,3.45,3.3,3.6,2.7
Norway,Norway,2.55,2.5,2.6,2.45,2.4,2.5,2.5
Belgium,Belgium,2.05,2.0,2.1,2.05,2.0,2.1,2.05
Japan,Japan,1.95,1.9,2.0,1.65,1.6,1.7,1.8
Colombia,Colombia,1.65,1.6,1.7,1.65,1.6,1.7,1.65
Mexico,Mexico,1.35,1.3,1.4,1.95,1.9,2.0,1.65
Morocco,Morocco,1.75,1.7,1.8,1.55,1.5,1.6,1.65
Switzerland,Switzerland,1.65,1.6,1.7,1.25,1.1,1.4,1.45
Turkey,Turkey,1.35,1.3,1.4,0.85,0.8,0.9,1.1
Uruguay,Uruguay,0.85,0.8,0.9,0.95,0.9,1.0,0.9
Croatia,Croatia,0.85,0.8,0.9,0.75,0.7,0.8,0.8
Ecuador,Ecuador,0.85,0.8,0.9,0.75,0.7,0.8,0.8
Senegal,Senegal,0.65,0.6,0.7,0.65,0.6,0.7,0.65
South Korea,South Korea,0.45,0.4,0.5,0.45,0.4,0.5,0.45
Bosnia-Herzegovina,Bosnia and H.,0.15,0.1,0.2,0.5,0.0,1.0,0.325
Congo DR,Congo DR,0.15,0.1,0.2,0.5,0.0,1.0,0.325
Czechia,Czechia,0.15,0.1,0.2,0.5,0.0,1.0,0.325
Austria,Austria,0.35,0.3,0.4,0.25,0.2,0.3,0.3
Ivory Coast,Ivory Coast,0.35,0.3,0.4,0.25,0.2,0.3,0.3
Iraq,Iraq,0.05,,0.1,0.5,0.0,1.0,0.275
Canada,Canada,0.25,0.2,0.3,0.25,0.2,0.3,0.25
Sweden,Sweden,0.25,0.2,0.3,0.25,0.2,0.3,0.25
Scotland,Scotland,0.25,0.2,0.3,0.15,0.1,0.2,0.2
Algeria,Algeria,0.15,0.1,0.2,0.15,0.1,0.2,0.15
Australia,Australia,0.15,0.1,0.2,0.15,0.1,0.2,0.15
Egypt,Egypt,0.15,0.1,0.2,0.15,0.1,0.2,0.15
Ghana,Ghana,0.15,0.1,0.2,0.15,0.1,0.2,0.15
Iran,Iran,0.15,0.1,0.2,0.15,0.1,0.2,0.15
Paraguay,Paraguay,0.15,0.1,0.2,0.15,0.1,0.2,0.15
Cape Verde,Cape Verde,0.05,,0.1,0.05,0.0,0.1,0.05
Curaçao,Curaçao,0.05,,0.1,0.05,0.0,0.1,0.05
Haiti,Haiti,0.05,,0.1,0.05,0.0,0.1,0.05
Jordan,Jordan,0.05,,0.1,0.05,0.0,0.1,0.05
New Zealand,New Zealand,0.05,,0.1,0.05,0.0,0.1,0.05
Panama,Panama,0.05,,0.1,0.05,0.0,0.1,0.05
Qatar,Qatar,0.05,,0.1,0.05,0.0,0.1,0.05
Saudi Arabia,Saudi Arabia,0.05,,0.1,0.05,0.0,0.1,0.05
South Africa,South Africa,0.05,,0.1,0.05,0.0,0.1,0.05
Tunisia,Tunisia,0.05,,0.1,0.05,0.0,0.1,0.05
Uzbekistan,Uzbekistan,0.05,,0.1,0.05,0.0,0.1,0.05
Italy,Italy,0.0,,0.1,,,,0.0
Peru,Peru,0.0,,0.1,,,,0.0
